1️⃣  (U+0031)
2️⃣  (U+0032)
3⃣  (U+0033)
5⃣  (U+0035)
©  (U+00A9)
®  (U+00AE)
‼  (U+203C)
‼️  (U+203C)
⁉  (U+2049)
⁉️  (U+2049)
™  (U+2122)
⌚  (U+231A)
⌛  (U+231B)
⏩  (U+23E9)
⏰  (U+23F0)
Ⓜ  (U+24C2)
▪️  (U+25AA)
▶️  (U+25B6)
◽  (U+25FD)
☀  (U+2600)
☀️  (U+2600)
☂️  (U+2602)
☃️  (U+2603)
☑  (U+2611)
☑️  (U+2611)
☔  (U+2614)
☕  (U+2615)
☘  (U+2618)
☘️  (U+2618)
☝  (U+261D)
☝️  (U+261D)
☝🏻  (U+261D)
☝🏿  (U+261D)
☠  (U+2620)
☠️  (U+2620)
☣️  (U+2623)
☪️  (U+262A)
☹  (U+2639)
☹️  (U+2639)
☺  (U+263A)
☺️  (U+263A)
♀️  (U+2640)
♒  (U+2652)
♠  (U+2660)
♣  (U+2663)
♥  (U+2665)
♥️  (U+2665)
♦  (U+2666)
♻️  (U+267B)
⚓  (U+2693)
⚖️  (U+2696)
⚠  (U+26A0)
⚠️  (U+26A0)
⚡  (U+26A1)
⚪  (U+26AA)
⚫  (U+26AB)
⚽  (U+26BD)
⛄  (U+26C4)
⛔  (U+26D4)
⛰️  (U+26F0)
⛽  (U+26FD)
✅  (U+2705)
✈️  (U+2708)
✊  (U+270A)
✊🏻  (U+270A)
✋  (U+270B)
✋🏻  (U+270B)
✌  (U+270C)
✌️  (U+270C)
✌🏻  (U+270C)
✌🏼  (U+270C)
✌🏽  (U+270C)
✌🏾  (U+270C)
✍  (U+270D)
✍️  (U+270D)
✍🏻  (U+270D)
✍🏿  (U+270D)
✏  (U+270F)
✔️  (U+2714)
✖  (U+2716)
✖️  (U+2716)
✝️  (U+271D)
✨  (U+2728)
❄  (U+2744)
❄️  (U+2744)
❌  (U+274C)
❎  (U+274E)
❓  (U+2753)
❔  (U+2754)
❕  (U+2755)
❗  (U+2757)
❣  (U+2763)
❣️  (U+2763)
❤  (U+2764)
❤‍🔥  (U+2764)
❤️  (U+2764)
❤️‍🔥  (U+2764)
❤️‍🩹  (U+2764)
➕  (U+2795)
➡  (U+27A1)
➡️  (U+27A1)
⬆  (U+2B06)
⬇  (U+2B07)
⭐  (U+2B50)
⭕  (U+2B55)
🀄  (U+1F004)
🅰  (U+1F170)
🅾  (U+1F17E)
🆒  (U+1F192)
🆗  (U+1F197)
🆘  (U+1F198)
🆙  (U+1F199)
🆚  (U+1F19A)
🇦🇪  (U+1F1E6)
🇦🇱  (U+1F1E6)
🇨🇦  (U+1F1E8)
🇨🇳  (U+1F1E8)
🇩🇯  (U+1F1E9)
🇪🇸  (U+1F1EA)
🇬🇧  (U+1F1EC)
🇬🇬  (U+1F1EC)
🇬🇱  (U+1F1EC)
🇮🇩  (U+1F1EE)
🇯🇵  (U+1F1EF)
🇰🇷  (U+1F1F0)
🇲🇨  (U+1F1F2)
🇲🇾  (U+1F1F2)
🇵🇭  (U+1F1F5)
🇵🇱  (U+1F1F5)
🇵🇸  (U+1F1F5)
🇹🇻  (U+1F1F9)
🇺🇸  (U+1F1FA)
🇺🇾  (U+1F1FA)
🇺🇿  (U+1F1FA)
🇻🇦  (U+1F1FB)
🇻🇨  (U+1F1FB)
🇻🇪  (U+1F1FB)
🇻🇬  (U+1F1FB)
🇻🇮  (U+1F1FB)
🇻🇳  (U+1F1FB)
🇻🇺  (U+1F1FB)
🇼🇫  (U+1F1FC)
🇼🇸  (U+1F1FC)
🇽🇰  (U+1F1FD)
🇾🇪  (U+1F1FE)
🇾🇹  (U+1F1FE)
🇿🇦  (U+1F1FF)
🇿🇲  (U+1F1FF)
🇿🇼  (U+1F1FF)
🈲  (U+1F232)
🈴  (U+1F234)
🈵  (U+1F235)
🈶  (U+1F236)
🈺  (U+1F23A)
🉐  (U+1F250)
🌀  (U+1F300)
🌁  (U+1F301)
🌃  (U+1F303)
🌄  (U+1F304)
🌅  (U+1F305)
🌆  (U+1F306)
🌇  (U+1F307)
🌈  (U+1F308)
🌉  (U+1F309)
🌊  (U+1F30A)
🌌  (U+1F30C)
🌍  (U+1F30D)
🌎  (U+1F30E)
🌏  (U+1F30F)
🌑  (U+1F311)
🌓  (U+1F313)
🌙  (U+1F319)
🌚  (U+1F31A)
🌛  (U+1F31B)
🌜  (U+1F31C)
🌝  (U+1F31D)
🌞  (U+1F31E)
🌟  (U+1F31F)
🌠  (U+1F320)
🌧️  (U+1F327)
🌨  (U+1F328)
🌨️  (U+1F328)
🌪  (U+1F32A)
🌪️  (U+1F32A)
🌫️  (U+1F32B)
🌬️  (U+1F32C)
🌱  (U+1F331)
🌲  (U+1F332)
🌳  (U+1F333)
🌵  (U+1F335)
🌷  (U+1F337)
🌸  (U+1F338)
🌹  (U+1F339)
🌺  (U+1F33A)
🌻  (U+1F33B)
🌼  (U+1F33C)
🌿  (U+1F33F)
🍀  (U+1F340)
🍁  (U+1F341)
🍄  (U+1F344)
🍅  (U+1F345)
🍇  (U+1F347)
🍉  (U+1F349)
🍊  (U+1F34A)
🍌  (U+1F34C)
🍎  (U+1F34E)
🍏  (U+1F34F)
🍑  (U+1F351)
🍓  (U+1F353)
🍔  (U+1F354)
🍕  (U+1F355)
🍖  (U+1F356)
🍗  (U+1F357)
🍙  (U+1F359)
🍚  (U+1F35A)
🍞  (U+1F35E)
🍟  (U+1F35F)
🍡  (U+1F361)
🍥  (U+1F365)
🍦  (U+1F366)
🍧  (U+1F367)
🍩  (U+1F369)
🍪  (U+1F36A)
🍭  (U+1F36D)
🍮  (U+1F36E)
🍯  (U+1F36F)
🍰  (U+1F370)
🍳  (U+1F373)
🍴  (U+1F374)
🍵  (U+1F375)
🍸  (U+1F378)
🍹  (U+1F379)
🍻  (U+1F37B)
🍼  (U+1F37C)
🍿  (U+1F37F)
🎀  (U+1F380)
🎁  (U+1F381)
🎂  (U+1F382)
🎃  (U+1F383)
🎆  (U+1F386)
🎇  (U+1F387)
🎈  (U+1F388)
🎉  (U+1F389)
🎊  (U+1F38A)
🎏  (U+1F38F)
🎑  (U+1F391)
🎒  (U+1F392)
🎓  (U+1F393)
🎖️  (U+1F396)
🎗  (U+1F397)
🎗️  (U+1F397)
🎙️  (U+1F399)
🎟  (U+1F39F)
🎤  (U+1F3A4)
🎥  (U+1F3A5)
🎧  (U+1F3A7)
🎩  (U+1F3A9)
🎬  (U+1F3AC)
🎭  (U+1F3AD)
🎮  (U+1F3AE)
🎱  (U+1F3B1)
🎵  (U+1F3B5)
🎶  (U+1F3B6)
🎷  (U+1F3B7)
🎸  (U+1F3B8)
🎿  (U+1F3BF)
🏁  (U+1F3C1)
🏃  (U+1F3C3)
🏃🏻‍♀️  (U+1F3C3)
🏅  (U+1F3C5)
🏆  (U+1F3C6)
🏊  (U+1F3CA)
🏊🏻‍♀️  (U+1F3CA)
🏌️  (U+1F3CC)
🏍  (U+1F3CD)
🏍️  (U+1F3CD)
🏙  (U+1F3D9)
🏙️  (U+1F3D9)
🏛  (U+1F3DB)
🏞  (U+1F3DE)
🏟  (U+1F3DF)
🏠  (U+1F3E0)
🏡  (U+1F3E1)
🏢  (U+1F3E2)
🏤  (U+1F3E4)
🏥  (U+1F3E5)
🏦  (U+1F3E6)
🏩  (U+1F3E9)
🏪  (U+1F3EA)
🏫  (U+1F3EB)
🏬  (U+1F3EC)
🏰  (U+1F3F0)
🏳  (U+1F3F3)
🏳️  (U+1F3F3)
🏳️‍🌈  (U+1F3F3)
🏴  (U+1F3F4)
🏴‍☠️  (U+1F3F4)
🏵  (U+1F3F5)
🏵️  (U+1F3F5)
🐀  (U+1F400)
🐁  (U+1F401)
🐂  (U+1F402)
🐄  (U+1F404)
🐇  (U+1F407)
🐈  (U+1F408)
🐉  (U+1F409)
🐊  (U+1F40A)
🐋  (U+1F40B)
🐌  (U+1F40C)
🐍  (U+1F40D)
🐏  (U+1F40F)
🐑  (U+1F411)
🐒  (U+1F412)
🐔  (U+1F414)
🐕  (U+1F415)
🐖  (U+1F416)
🐗  (U+1F417)
🐙  (U+1F419)
🐚  (U+1F41A)
🐛  (U+1F41B)
🐜  (U+1F41C)
🐝  (U+1F41D)
🐟  (U+1F41F)
🐠  (U+1F420)
🐢  (U+1F422)
🐣  (U+1F423)
🐥  (U+1F425)
🐦  (U+1F426)
🐧  (U+1F427)
🐩  (U+1F429)
🐭  (U+1F42D)
🐮  (U+1F42E)
🐯  (U+1F42F)
🐰  (U+1F430)
🐱  (U+1F431)
🐳  (U+1F433)
🐴  (U+1F434)
🐵  (U+1F435)
🐶  (U+1F436)
🐷  (U+1F437)
🐸  (U+1F438)
🐹  (U+1F439)
🐺  (U+1F43A)
🐻  (U+1F43B)
🐼  (U+1F43C)
🐽  (U+1F43D)
🐾  (U+1F43E)
👀  (U+1F440)
👁  (U+1F441)
👁️  (U+1F441)
👂  (U+1F442)
👃  (U+1F443)
👃🏻  (U+1F443)
👃🏿  (U+1F443)
👄  (U+1F444)
👅  (U+1F445)
👆  (U+1F446)
👆🏻  (U+1F446)
👆🏽  (U+1F446)
👇  (U+1F447)
👇🏼  (U+1F447)
👈  (U+1F448)
👈🏻  (U+1F448)
👈🏼  (U+1F448)
👉  (U+1F449)
👉🏻  (U+1F449)
👉🏼  (U+1F449)
👉🏽  (U+1F449)
👉🏿  (U+1F449)
👊  (U+1F44A)
👊🏻  (U+1F44A)
👊🏼  (U+1F44A)
👊🏾  (U+1F44A)
👋  (U+1F44B)
👋🏻  (U+1F44B)
👌  (U+1F44C)
👌🏻  (U+1F44C)
👌🏼  (U+1F44C)
👌🏽  (U+1F44C)
👌🏾  (U+1F44C)
👌🏿  (U+1F44C)
👍  (U+1F44D)
👍🏻  (U+1F44D)
👍🏼  (U+1F44D)
👍🏽  (U+1F44D)
👍🏾  (U+1F44D)
👍🏿  (U+1F44D)
👎  (U+1F44E)
👎🏻  (U+1F44E)
👎🏼  (U+1F44E)
👎🏽  (U+1F44E)
👎🏾  (U+1F44E)
👎🏿  (U+1F44E)
👏  (U+1F44F)
👏🏻  (U+1F44F)
👏🏼  (U+1F44F)
👏🏽  (U+1F44F)
👏🏿  (U+1F44F)
👐  (U+1F450)
👐🏻  (U+1F450)
👑  (U+1F451)
👒  (U+1F452)
👓  (U+1F453)
👔  (U+1F454)
👕  (U+1F455)
👖  (U+1F456)
👗  (U+1F457)
👘  (U+1F458)
👙  (U+1F459)
👚  (U+1F45A)
👛  (U+1F45B)
👜  (U+1F45C)
👝  (U+1F45D)
👞  (U+1F45E)
👟  (U+1F45F)
👠  (U+1F460)
👡  (U+1F461)
👢  (U+1F462)
👣  (U+1F463)
👤  (U+1F464)
👥  (U+1F465)
👦  (U+1F466)
👧  (U+1F467)
👧🏻  (U+1F467)
👨‍❤️‍💋‍👨  (U+1F468)
👨‍🦯  (U+1F468)
👨🏻  (U+1F468)
👩  (U+1F469)
👩‍⚕️  (U+1F469)
👩‍❤️‍👨  (U+1F469)
👩‍❤️‍💋‍👨  (U+1F469)
👩‍❤️‍💋‍👩  (U+1F469)
👩‍🏫  (U+1F469)
👩‍🏭  (U+1F469)
👩‍💼  (U+1F469)
👩‍🔬  (U+1F469)
👩‍🦰  (U+1F469)
👩🏻  (U+1F469)
👫  (U+1F46B)
👬  (U+1F46C)
👭  (U+1F46D)
👯  (U+1F46F)
👰  (U+1F470)
👱  (U+1F471)
👴  (U+1F474)
👴🏻  (U+1F474)
👵  (U+1F475)
👵🏻  (U+1F475)
👶  (U+1F476)
👸  (U+1F478)
👹  (U+1F479)
👺  (U+1F47A)
👻  (U+1F47B)
👼  (U+1F47C)
👼🏻  (U+1F47C)
👽  (U+1F47D)
👾  (U+1F47E)
👿  (U+1F47F)
💀  (U+1F480)
💁  (U+1F481)
💁🏻‍♀️  (U+1F481)
💃  (U+1F483)
💃🏻  (U+1F483)
💄  (U+1F484)
💅  (U+1F485)
💅🏻  (U+1F485)
💅🏾  (U+1F485)
💅🏿  (U+1F485)
💆  (U+1F486)
💆🏻‍♀️  (U+1F486)
💆🏽‍♂️  (U+1F486)
💇  (U+1F487)
💋  (U+1F48B)
💌  (U+1F48C)
💍  (U+1F48D)
💎  (U+1F48E)
💏  (U+1F48F)
💐  (U+1F490)
💑  (U+1F491)
💒  (U+1F492)
💓  (U+1F493)
💔  (U+1F494)
💕  (U+1F495)
💖  (U+1F496)
💗  (U+1F497)
💘  (U+1F498)
💙  (U+1F499)
💚  (U+1F49A)
💛  (U+1F49B)
💜  (U+1F49C)
💝  (U+1F49D)
💞  (U+1F49E)
💟  (U+1F49F)
💠  (U+1F4A0)
💡  (U+1F4A1)
💢  (U+1F4A2)
💣  (U+1F4A3)
💤  (U+1F4A4)
💥  (U+1F4A5)
💦  (U+1F4A6)
💧  (U+1F4A7)
💨  (U+1F4A8)
💩  (U+1F4A9)
💪  (U+1F4AA)
💪🏻  (U+1F4AA)
💪🏼  (U+1F4AA)
💪🏿  (U+1F4AA)
💫  (U+1F4AB)
💬  (U+1F4AC)
💮  (U+1F4AE)
💯  (U+1F4AF)
💰  (U+1F4B0)
💱  (U+1F4B1)
💲  (U+1F4B2)
💳  (U+1F4B3)
💴  (U+1F4B4)
💵  (U+1F4B5)
💶  (U+1F4B6)
💷  (U+1F4B7)
💸  (U+1F4B8)
💺  (U+1F4BA)
💻  (U+1F4BB)
💼  (U+1F4BC)
💿  (U+1F4BF)
📄  (U+1F4C4)
📈  (U+1F4C8)
📉  (U+1F4C9)
📌  (U+1F4CC)
📍  (U+1F4CD)
📒  (U+1F4D2)
📔  (U+1F4D4)
📕  (U+1F4D5)
📗  (U+1F4D7)
📘  (U+1F4D8)
📙  (U+1F4D9)
📚  (U+1F4DA)
📜  (U+1F4DC)
📝  (U+1F4DD)
📩  (U+1F4E9)
📱  (U+1F4F1)
📲  (U+1F4F2)
📳  (U+1F4F3)
📴  (U+1F4F4)
📵  (U+1F4F5)
📷  (U+1F4F7)
📸  (U+1F4F8)
📻  (U+1F4FB)
📽  (U+1F4FD)
🔁  (U+1F501)
🔂  (U+1F502)
🔋  (U+1F50B)
🔍  (U+1F50D)
🔐  (U+1F510)
🔓  (U+1F513)
🔘  (U+1F518)
🔙  (U+1F519)
🔚  (U+1F51A)
🔛  (U+1F51B)
🔝  (U+1F51D)
🔞  (U+1F51E)
🔥  (U+1F525)
🔧  (U+1F527)
🔨  (U+1F528)
🔪  (U+1F52A)
🔬  (U+1F52C)
🔯  (U+1F52F)
🔰  (U+1F530)
🔴  (U+1F534)
🔸  (U+1F538)
🕊  (U+1F54A)
🕊️  (U+1F54A)
🕋  (U+1F54B)
🕌  (U+1F54C)
🕯️  (U+1F56F)
🕶  (U+1F576)
🕶️  (U+1F576)
🕷️  (U+1F577)
🕸  (U+1F578)
🕸️  (U+1F578)
🕺  (U+1F57A)
🕺🏼  (U+1F57A)
🖊️  (U+1F58A)
🖐  (U+1F590)
